LoadDate,ScientificName,LibrarySource
2019-08-03 17:22:45,Campylobacter jejuni,GENOMIC
2017-11-21 23:33:26,Campylobacter jejuni subsp. jejuni,GENOMIC
2019-08-02 00:18:26,human gut metagenome,METAGENOMIC
2019-10-23 19:09:46,Campylobacter coli,GENOMIC
2020-03-10 15:15:05,Campylobacter jejuni,GENOMIC
2018-10-26 09:44:10,Campylobacter jejuni,GENOMIC
2018-12-03 15:55:50,Campylobacter coli,GENOMIC
2016-03-09 23:20:19,Campylobacter jejuni,GENOMIC
2020-03-09 10:36:11,Vibrio cholerae,GENOMIC
2018-05-03 11:48:43,Campylobacter jejuni,GENOMIC
2013-02-05 21:58:43,Campylobacter jejuni,GENOMIC
2019-08-01 17:48:04,Campylobacter jejuni,GENOMIC
2018-05-07 16:42:31,Campylobacter coli,GENOMIC
2015-12-30 14:16:16,Campylobacter coli,GENOMIC
2015-03-01 03:33:43,Escherichia coli,GENOMIC
2019-02-22 14:42:58,Campylobacter jejuni,GENOMIC
2016-02-27 20:44:42,Campylobacter fetus subsp. fetus,GENOMIC
2019-09-02 16:13:31,Campylobacter jejuni,GENOMIC
2016-09-30 11:18:48,Campylobacter jejuni,GENOMIC
2019-12-16 19:27:08,Campylobacter coli,GENOMIC
2015-02-17 12:58:55,Campylobacter sp.,GENOMIC
2019-08-06 15:23:18,Campylobacter jejuni,GENOMIC
2019-08-15 16:54:36,Campylobacter jejuni,GENOMIC
2020-03-09 18:19:59,Campylobacter jejuni,GENOMIC
2015-02-26 11:47:18,Staphylococcus aureus,GENOMIC
2017-05-28 15:35:09,Campylobacter jejuni,GENOMIC
2014-11-28 16:44:02,Listeria monocytogenes,GENOMIC
2016-09-29 16:01:46,Campylobacter jejuni,GENOMIC
2014-09-14 04:37:34,Campylobacter jejuni,GENOMIC
2018-10-23 18:46:59,Campylobacter jejuni,GENOMIC
2019-08-16 17:22:53,Campylobacter jejuni,GENOMIC
2018-05-16 09:27:59,Campylobacter jejuni,GENOMIC
2018-07-30 10:05:05,Campylobacter jejuni,GENOMIC
2019-04-11 05:26:35,Campylobacter jejuni,GENOMIC
2018-02-28 12:43:15,Campylobacter jejuni,GENOMIC
2014-06-10 19:02:42,Campylobacter sp.,GENOMIC
2019-06-12 18:42:14,Campylobacter jejuni,GENOMIC
2017-09-27 19:19:58,Campylobacter jejuni,GENOMIC
2018-01-11 14:00:09,Campylobacter jejuni,GENOMIC
2016-01-08 18:06:56,Campylobacter jejuni,GENOMIC
2017-01-27 11:12:14,Campylobacter jejuni,GENOMIC
2019-08-09 16:01:15,Campylobacter jejuni,GENOMIC
2017-03-19 08:27:27,Campylobacter jejuni,GENOMIC
2014-03-04 23:40:32,Campylobacter sp.,GENOMIC
