LoadDate,ScientificName,LibrarySource
2014-12-04 15:36:56,Salmonella enterica,GENOMIC
2018-03-26 12:22:15,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2017-01-27 10:53:33,Salmonella enterica subsp. enterica serovar Montevideo,GENOMIC
2014-03-05 00:08:35,Salmonella enterica subsp. enterica serovar Typhi,GENOMIC
2017-01-21 14:35:13,Salmonella enterica subsp. enterica,GENOMIC
2014-03-08 00:25:17,Salmonella enterica subsp. enterica serovar Typhi,GENOMIC
2016-03-25 14:48:26,Salmonella enterica subsp. enterica serovar Derby,GENOMIC
2018-08-07 21:53:17,Salmonella enterica,GENOMIC
2018-07-08 07:57:45,Salmonella enterica subsp. enterica serovar Typhi,GENOMIC
2018-10-03 09:26:16,Salmonella enterica,GENOMIC
2018-09-20 18:03:38,Salmonella enterica subsp. enterica,GENOMIC
2016-11-04 16:15:33,Salmonella enterica,GENOMIC
2017-12-13 11:03:39,Salmonella enterica subsp. enterica serovar Virchow,GENOMIC
2013-01-15 16:15:34,Salmonella enterica subsp. enterica serovar Newport str. DC_10-449,GENOMIC
2018-07-05 16:21:23,Salmonella enterica,GENOMIC
2019-09-27 20:52:27,Salmonella enterica subsp. enterica serovar Reading,GENOMIC
2017-05-26 17:25:16,Salmonella enterica subsp. enterica serovar Kentucky,GENOMIC
2020-01-14 11:33:30,Salmonella enterica,GENOMIC
2019-03-10 18:49:23,Salmonella enterica subsp. enterica serovar Larochelle,GENOMIC
2016-09-22 18:33:37,Salmonella enterica,GENOMIC
2016-11-14 11:59:02,Salmonella enterica subsp. enterica serovar Cerro,GENOMIC
2015-09-29 05:37:31,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2018-02-08 22:32:29,Salmonella enterica subsp. enterica serovar Dublin,GENOMIC
2018-04-25 13:34:28,Salmonella enterica,GENOMIC
2018-01-23 16:12:38,Salmonella enterica,GENOMIC
2019-12-17 13:56:43,Salmonella enterica,GENOMIC
2018-08-07 21:44:28,Salmonella enterica subsp. enterica serovar Kentucky,GENOMIC
2015-10-06 15:59:44,"Salmonella enterica subsp. enterica serovar 4,12:i:-",GENOMIC
2018-10-28 09:44:42,Salmonella enterica,GENOMIC
2018-03-23 12:01:46,Salmonella enterica,GENOMIC
2018-04-05 10:08:58,Salmonella enterica subsp. enterica serovar Badagry,GENOMIC
2015-12-28 11:33:41,Salmonella enterica,GENOMIC
2019-06-25 13:51:33,Salmonella enterica,GENOMIC
2018-11-08 12:41:19,Salmonella enterica,GENOMIC
2018-11-07 10:31:35,Salmonella enterica,GENOMIC
2020-01-23 20:29:57,Salmonella enterica,GENOMIC
2018-04-18 08:37:02,Salmonella enterica,GENOMIC
2015-04-11 08:42:41,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2018-06-11 18:45:51,Salmonella enterica subsp. enterica serovar Kentucky,GENOMIC
2015-02-17 01:06:39,Salmonella enterica subsp. enterica,GENOMIC
2015-12-21 13:41:13,Salmonella enterica,GENOMIC
